ID,listing_date,type,category,Bedrooms,bathrooms,balcony,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,neighbourhood,county,view,frontage,rent_price_usd,final_rent_price_usd
99,2024-06-25,apartment,rent,2,1,,100,1,new,fully,2021,suburb,1,,mansour,west,,1200,1200
100,2024-06-24,apartment,rent,1,2,,50,1,new,no,2021,suburb,3,dawoodi,mansour,,,,533.3333333
101,2024-06-24,apartment,rent,2,1,,150,1,,,,suburb,,beiji,mansour,,,,666.6666667
102,2024-06-21,apartment,rent,2,1,,120,1,,,,suburb,,,mansour,,,900,900
103,2024-06-14,apartment,rent,2,2,,125,1,new,no,2023,suburb,1,dawoodi,mansour,north,,,800
104,2024-06-12,apartment,rent,2,1,,123,1,new,,2023,suburb,,daragh,mansour,,,,666.6666667
105,2024-06-12,apartment,rent,2,1,,1001,1,new,,2023,suburb,1,mohandeseen,mansour,north,,1300,1300
106,2024-08-20,apartment,rent,3,1,,200,1,new,no,2023,suburb,0,beiji,mansour,north,,,1200
107,2024-08-20,apartment,rent,1,1,1,70,1,,fully,2023,suburb,1,mutanabi,mansour,,,,870
108,2024-08-19,apartment,rent,2,1,,120,1,good,no,2021,suburb,1,dawoodi,mansour,north,,,733.3333333
109,2024-08-18,apartment,rent,2,2,1,100,1,,no,2023,suburb,2,,mansour,north,,,600
110,2024-08-17,apartment,rent,3,2,1,150,1,new,half,2021,suburb,1,mutanabi,mansour,north,,,1300
111,2024-08-17,apartment,rent,3,1,,180,1,new,no,2021,suburb,2,dawoodi,mansour,,,,966.6666667
112,2024-08-17,apartment,rent,2,1,2,100,1,good,no,2017,suburb,1,,mansour,,,,666.6666667
113,2024-08-17,apartment,rent,1,1,,50,1,,no,2021,suburb,0,,mansour,east,,,733.3333333
114,2024-08-15,apartment,rent,2,2,,100,1,good,fully,2021,suburb,1,daragh,mansour,,,,1200
115,2024-08-14,apartment,rent,3,1,,200,1,new,no,2023,suburb,1,beiji,mansour,north,,,1200
116,2024-08-14,apartment,rent,2,1,,200,1,new,no,2021,suburb,1,arabi,mansour,north,,,666.6666667
117,2024-08-08,apartment,rent,2,1,,100,1,good,half,2021,suburb,2,dawoodi,mansour,north,,,566.6666667
118,2024-08-08,apartment,rent,2,2,,100,1,new,fully,2021,suburb,1,daragh,mansour,,,,966.6666667
119,2024-09-10,apartment,rent,3,1,,200,1,new,no,2023,suburb,1,beiji,mansour,north,,,900
120,2024-09-09,apartment,rent,3,2,,200,1,new,half,2023,suburb,1,dawoodi,mansour,north,,,1500
121,2024-09-09,apartment,rent,2,2,,100,1,new,fully,2023,suburb,0,daragh,mansour,north,,,1200
